lat,long,ranking ,name,address,city,region,,,,,,
42.3734741,-71.1179581,1,Harvard University,"Harvard University, MA",Boston,massachusetts,,Boston,5,,,
37.4378815,-122.1666031,2,Stanford University,"Stanford, CA",San Francisco,california,,New York,6,,,
42.3667908,-71.1060104,3,Massachusetts Institute of Technology,"Cambridge, Massachusetts",Boston,massachusetts,,Seattle,1,,,
37.8752785,-122.2387619,4,University of California Berkeley,"Berkeley, CA",San Francisco,california,,Philadelphia,5,,,
42.2775841,-83.7377014,5,University of Michigan,,0,ignore,,Baltimore,6,,,
47.6543732,-122.3041687,6,University of Washington,"University of Washington, WA",Seattle,washington,,San Diego,1,,,
40.7642708,-73.955246,7,Cornell University,"Cornell University, NY",New York,new york,,Los Angeles,5,,,"top_cities1 <- subset(top_cities, City %in% c( ""Boston"" ) )"
40.8075104,-73.9621582,8,Columbia University New York,"Columbia University, NY",New York,new york,,San Francisco,4,,,"top_cities2 <- subset(top_cities, City %in% c( ""New York"" ) )"
39.3302765,-76.6210709,9,Johns Hopkins University,"Johns Hopkins University, MD",Baltimore,maryland,,Chicago,3,,,"top_cities3 <- subset(top_cities, City %in% c( ""Seattle"" ) )"
34.0709534,-118.4463882,10,University of California Los Angeles UCLA,"University of California, Los Angeles, CA",Los Angeles,california,,Pittsburgh,2,,,"top_cities4 <- subset(top_cities, City %in% c( ""Philadelphia"", ""Pittsburgh"" ) )"
39.9489861,-75.1950989,11,University of Pennsylvania,"University of Pennsylvania, PA",Philadelphia,pennsylvania,,Houston,2,,,"top_cities5 <- subset(top_cities, City %in% c( ""Baltimore"" ) )"
41.3134651,-72.9262085,12,Yale University,"Yale University, CT",0,ignore,,,,,,"top_cities6 <- subset(top_cities, City %in% c( ""San Francisco"",""Los Angeles"",""San Diego"" ) )"
43.0801888,-89.4208984,13,University of Wisconsin Madison,"University of Wisconsin-Madison, WI",0,ignore,,,,,,"top_cities7 <- subset(top_cities, City %in% c( ""Chicago"" ) )"
32.8775291,-117.2378006,14,University of California San Diego,"University of California, San Diego, CA",San Diego,california,,,,,,"top_cities8 <- subset(top_cities, City %in% c( ""Houston"" ) )"
30.2870293,-97.7335434,15,University of Texas Austin,"Austin, TX",0,ignore,,,,,,
32.8453598,-96.7969894,16,Duke University,"University Park, TX",0,ignore,,,,,,
40.1142006,-88.2434998,17,University of Illinois Urbana Champaign,"Champaign, IL",0,ignore,,,,,,
40.3423386,-74.6560364,18,Princeton University,"Princeton University, NJ",Philadelphia,pennsylvania,,,,,,
41.7895355,-87.5988312,19,University of Chicago,"University of Chicago, IL",Chicago,illinois,,,,,,
40.7998586,-77.8604548,20,Pennsylvania State University,"2 Penn State University, State College, PA 16802",0,ignore,,,,,,
40.7291641,-73.9940948,21,New York University,"New York University, NY",New York,new york,,,,,,
35.90473,-79.05654,22,University of North Carolina Chapel Hill,"Chapel Hill, NC",0,ignore,,,,,,
34.2013893,-118.1734085,23,California Institute of Technology Caltech,"Caltech, CA",Los Angeles,california,,,,,,
38.9877,-76.95521,24,University of Maryland College Park,"University Blvd E, College Park, MD 20783",Baltimore,maryland,,,,,,
38.5360909,-121.7548218,25,University of California Davis,"University of California, Davis, CA",0,ignore,,,,,,
29.6395893,-82.3559189,26,University of Florida,"University of Florida, FL",0,ignore,,,,,,
34.0219116,-118.2857742,27,University of Southern California,"University of Southern California, CA",Los Angeles,california,,,,,,
42.4244385,-83.1376266,28,Michigan State University,"University District, Detroit, MI",0,ignore,,,,,,
41.4977303,-81.5362778,29,Ohio State University,"University Heights, OH",0,ignore,,,,,,
42.0498625,-87.6793551,30,Northwestern University,"633 Clark St, Evanston, IL 60208",Chicago,illinois,,,,,,
40.4434662,-79.9435425,31,Carnegie Mellon University,"Carnegie Mellon University, PA",Pittsburgh,pennsylvania,,,,,,
40.422802,-86.9283905,32,Purdue University,"Purdue University, IN",0,ignore,,,,,,
33.6425018,-117.836853,33,University of California Irvine,"University of California-Irvine, Irvine, CA",Los Angeles,california,,,,,,
33.7756348,-84.3962479,34,Georgia Institute of Technology,"Georgia Institute of Technology, GA",0,ignore,,,,,,
38.6472511,-90.3086777,35,Washington University Saint Louis,"Washington University in St Louis, MO",0,ignore,,,,,,
40.4440536,-79.9583054,36,University of Pittsburgh,"University of Pittsburgh, PA",Pittsburgh,pennsylvania,,,,,,
38.0413017,-78.5105362,37,University of Virginia,"University of Virginia, VA",0,ignore,,,,,,
40.4947701,-74.44384,38,Rutgers The State University of New Jersey,"New Brunswick, NJ",New York,new york,,,,,,
42.3518982,-71.1078033,39,Boston University,"Boston University, MA",Boston,massachusetts,,,,,,
32.2325439,-110.9517365,40,University of Arizona,"University of Arizona, AZ",0,ignore,,,,,,
37.7633209,-122.4585419,41,University of California San Francisco,"University of California, San Francisco, CA",San Francisco,california,,,,,,
36.1444969,-86.8048782,42,Vanderbilt University,"Vanderbilt University, TN",0,ignore,,,,,,
33.4201889,-111.9306107,43,Arizona State University,"Arizona State University, AZ",0,ignore,,,,,,
40.0074463,-105.2678375,44,University of Colorado Boulder,"University of Colorado, CO",0,ignore,,,,,,
30.6099148,-96.3432236,45,Texas A&M University,"Texas A&M University, TX",0,ignore,,,,,,
40.7649994,-111.8500214,46,University of Utah,"University of Utah, UT",0,ignore,,,,,,
34.4141808,-119.8487473,47,University of California Santa Barbara,"University of California, Santa Barbara, CA",0,ignore,,,,,,
39.1735115,-86.5160522,48,Indiana University Bloomington,"Indiana University, Bloomington, IN",0,ignore,,,,,,
37.21418,-80.4214325,49,Virginia Polytechnic Institute and State University,"Virginia Polytechnic Institute and State University, VA",0,ignore,,,,,,
35.8052406,-78.6501694,50,North Carolina State University,"University, Raleigh, NC",0,ignore,,,,,,
41.8281937,-71.3999023,51,Brown University,"Brown University, RI",Boston,massachusetts,,,,,,
42.4061852,-71.1173172,52,Tufts University,"Tufts University, MA",Boston,massachusetts,,,,,,
33.6197968,-83.8709183,53,Emory University,"Emory University, GA",0,ignore,,,,,,
41.6621361,-91.5579147,54,University of Iowa,"University of Iowa, IA",0,ignore,,,,,,
29.7170849,-95.4032211,55,Rice University,"Rice University, TX",Houston,texas,,,,,,
43.1243858,-77.6296082,56,University of Rochester,"University of Rochester, NY",0,ignore,,,,,,
41.6569099,-91.5534897,57,Iowa State University,"University Heights, IA",0,ignore,,,,,,
42.3864098,-72.5255814,58,University of Massachusetts Amherst,"University of Massachusetts, MA",0,ignore,,,,,,
33.9401436,-83.3745422,59,University of Georgia,"University of Georgia, GA",0,ignore,,,,,,
43,-78.7900009,60,University at Buffalo,"University at Buffalo, NY",0,ignore,,,,,,
40.8176384,-96.7015152,61,University of Nebraska Lincoln,"university. of nebraska, NE",0,ignore,,,,,,
33.9719849,-117.3286438,62,University of California Riverside,"University of California, Riverside, CA",Los Angeles,california,,,,,,
41.8700294,-87.6607285,63,University of Illinois Chicago,"Universidade de Illinois, IL",Chicago,illinois,,,,,,
39.6721916,-75.7442627,64,University of Delaware,"University of Delaware, DE",Philadelphia,pennsylvania,,,,,,
38.3128815,-104.5814819,65,Colorado State University,"University, Pueblo, CO",0,ignore,,,,,,
38.0281105,-84.5057373,66,University of Kentucky,"University of Kentucky, KY",0,ignore,,,,,,
36.97746,-122.05226,67,University of California Santa Cruz,"1156 High St, Santa Cruz, CA 95064",San Francisco,california,,,,,,
44.045269,-123.0696869,68,Oregon State University,"University, Eugene, OR",0,ignore,,,,,,
35.9517288,-83.9326324,69,University of Tennessee Knoxville,"University of Tennessee, TN",0,ignore,,,,,,
41.704361,-86.2380066,70,University of Notre Dame,"University of Notre Dame, IN",0,ignore,,,,,,
43.7036285,-72.2900314,71,Dartmouth College,"Dartmouth College, NH",0,ignore,,,,,,
41.809021,-72.2555313,72,University of Connecticut,"Universidade de Connecticut, CT",0,ignore,,,,,,
25.7183094,-80.2776413,73,University of Miami,"University of Miami, FL",0,ignore,,,,,,
40.7291641,-73.9940948,74,City University of New York,"New York University, NY",New York,new york,,,,,,
28.0618248,-82.4139404,75,University of South Florida,"University of South Florida, FL",0,ignore,,,,,,
38.9453011,-92.3287964,76,University of Missouri Columbia,"University of Missouri, MO",0,ignore,,,,,,
38.9089012,-77.0743256,77,Georgetown University,"Georgetown University, DC",Baltimore,maryland,,,,,,
46.7295418,-117.1661148,78,Washington State University Pullman,"Washington State University, WA",0,ignore,,,,,,
38.9001312,-77.0501175,79,George Washington University,"George Washington University, Washington, DC",Baltimore,maryland,,,,,,
44.0449982,-123.0749969,80,University of Oregon,"University of Oregon, OR",0,ignore,,,,,,
38.95857,-95.24767,81,University of Kansas,"1450 Jayhawk Blvd, Lawrence, KS 66045",0,ignore,,,,,,
39.1342163,-84.5129013,82,University of Cincinnati,"University of Cincinnati, OH",0,ignore,,,,,,
35.0781059,-106.6258774,83,University of New Mexico,"University of New Mexico, NM",0,ignore,,,,,,
41.5078049,-81.6090622,84,Case Western Reserve University,"Case Western Reserve University, OH",0,ignore,,,,,,
39.9799995,-75.1600037,85,Temple University,"Temple University, PA",Philadelphia,pennsylvania,,,,,,
29.7189217,-95.3391647,86,University of Houston,"University of Houston, TX",Houston,texas,,,,,,
42.3600197,-83.0689392,87,Wayne State University,"Wayne State, Detroit, MI",0,ignore,,,,,,
38.8301163,-77.3080368,88,George Mason University,"George Mason University, VA",Baltimore,maryland,,,,,,
33.9930344,-81.0271912,89,University of South Carolina,"University of South Carolina, SC",0,ignore,,,,,,
39.7743073,-86.1763916,90,Indiana University/Purdue University Indianapolis,"IUPUI, IN",0,ignore,,,,,,
35.196022,-97.440567,91,University of Oklahoma,"University of Oklahoma, OK",0,ignore,,,,,,
30.4064045,-91.1804581,92,Louisiana State University,"Baton Rouge, LA 70803",0,ignore,,,,,,
42.7312546,-73.6841507,93,Rensselaer Polytechnic Institute,"Rensselaer Polytechnic Institute, NY",0,ignore,,,,,,
40.2531204,-111.650856,94,Brigham Young University,"Brigham Young University, UT",0,ignore,,,,,,
40.9116096,-73.1193542,95,Stony Brook University,"State University of New York at Stony Brook, NY",New York,new york,,,,,,
43.0311394,-76.1184311,96,Syracuse University,"University, Syracuse, NY",0,ignore,,,,,,
39.957756,-75.1963577,97,Drexel University,"Drexel University, PA",Philadelphia,pennsylvania,,,,,,
33.5014534,-86.8064041,98,University of Alabama Birmingham,"Birmingham, AL 35294",0,ignore,,,,,,
39.29173,-76.62498,99,University of Maryland Baltimore,"620 W Lexington St, Baltimore, MD 21201",Baltimore,maryland,,,,,,
44.4733543,-73.1971283,100,University of Vermont,"University of Vermont, VT",0,ignore,,,,,,
