STATE,CITY,Size_State,Funding_State,Pop._US,NIH Fund_US
Massachusetts,Boston,1,1,24,1
New York,New york,1,1,1,2
Washionton,Seattle,1,1,21,3
Pennsylvania,Philadelphia,1,1,5,4
Maryland,Baltimore,1,1,26,5
California,San Diego,2,1,8,6
California,Los Angeles,1,2,2,7
Illinois,Chicago,1,1,3,8
Pennsylvania,Pittsburgh,2,2,62,9
California,San Francisco,4,3,14,10
Texas,Houston,1,1,4,11
NORTH CAROLINA,durham,4,1,82,12
NORTH CAROLINA,chapel hill,11,2,598,13
MASSACHUSETTS,cambridge,5,2,264,16
CALIFORNIA,davis,56,3,521,25
MARYLAND,rockville,4,2,544,30
CALIFORNIA,berkeley,29,4,231,34
VIRGINIA,charlottesville,7,1,831,35
FLORIDA,gainesville,8,1,204,36
FLORIDA,coral gables,20,2,752,39
CALIFORNIA,irvine,13,5,85,40
NORTH CAROLINA,winston-salem,5,3,86,47
CALIFORNIA,oakland,8,7,45,51
TEXAS,galveston,20,4,765,55
TEXAS,austin,4,5,11,57
CALIFORNIA,pasadena,25,8,183,58
MICHIGAN,east lansing,7,3,772,61
COLORADO,boulder,5,2,279,63
TEXAS,college station,15,6,293,66
ILLINOIS,evanston,6,3,439,68
FLORIDA,jupiter,16,4,619,70
MISSOURI,columbia,4,1,235,72
ARIZONA,tempe,5,2,143,73
CALIFORNIA,santa cruz,61,9,556,76
COLORADO,fort collins,4,4,160,78
CALIFORNIA,santa monica,40,10,326,80
MASSACHUSETTS,waltham,8,4,562,83
VIRGINIA,blacksburg,8,3,841,85
FLORIDA,tallahassee,5,5,125,86
NEW YORK,albany,5,4,299,87
CALIFORNIA,santa barbara,41,11,339,93
NEW YORK,syracuse,4,5,177,94
NORTH CAROLINA,wilmington,8,4,240,95
CALIFORNIA,riverside,11,12,59,96
TEXAS,fort worth,5,7,17,98
CALIFORNIA,palo alto,55,13,517,99
ALABAMA,huntsville,4,2,126,101
TEXAS,el paso,6,8,19,102
NEW JERSEY,new brunswick,4,2,652,103
MASSACHUSETTS,medford,9,5,632,104
IOWA,ames,4,2,568,105
CALIFORNIA,torrance,23,14,171,109
OREGON,corvallis,4,3,659,110
VIRGINIA,manassas,10,4,880,111
WASHINGTON,richland,8,2,700,112
OHIO,toledo,4,4,67,113
ARIZONA,scottsdale,4,3,95,115
CALIFORNIA,novato,64,15,676,116
CALIFORNIA,fremont,14,16,97,119
TEXAS,lubbock,9,9,84,121
CALIFORNIA,long beach,7,17,36,122
CALIFORNIA,mountain view,49,18,424,126
FLORIDA,orlando,4,8,77,128
CALIFORNIA,south san francisco,57,19,522,129
NEW YORK,white plains,7,6,625,130
KANSAS,manhattan,4,3,647,133
NORTH CAROLINA,greenville,10,6,347,134
MASSACHUSETTS,newton,6,6,351,137
TEXAS,richardson,12,10,275,138
MINNESOTA,maple grove,6,3,531,139
FLORIDA,miami beach,10,9,336,141
OHIO,dayton,6,5,179,142
TEXAS,edinburg,16,11,404,143
NEW YORK,troy,8,7,745,144
CONNECTICUT,hartford,4,2,212,145
CALIFORNIA,carlsbad,32,20,244,146
OHIO,akron,5,6,116,147
FLORIDA,boca raton,11,10,345,149
NEW YORK,binghamton,9,8,800,150
CALIFORNIA,monrovia,71,21,995,151
TEXAS,arlington,7,12,50,154
MARYLAND,annapolis,5,5,954,155
CALIFORNIA,sunnyvale,22,22,170,156
MASSACHUSETTS,woburn,13,7,949,161
OKLAHOMA,stillwater,4,3,792,162
VIRGINIA,hampton,4,6,187,163
ALABAMA,tuscaloosa,5,4,313,165
TENNESSEE,johnson city,5,3,535,167
ARIZONA,flagstaff,6,5,495,168
SOUTH CAROLINA,greenville,5,3,573,169
CALIFORNIA,santa clara,27,23,220,170
OHIO,dublin,8,7,842,172
MASSACHUSETTS,lowell,4,8,257,174
TEXAS,tyler,13,13,291,175
CALIFORNIA,livermore,45,24,370,176
ILLINOIS,decatur,8,5,448,179
CALIFORNIA,merced,46,25,400,180
ILLINOIS,buffalo grove,13,6,875,181
CALIFORNIA,hayward,20,26,161,182
WASHINGTON,bellevue,4,4,190,183
CALIFORNIA,san luis obispo,67,27,802,184
PENNSYLVANIA,state college,6,4,877,185
FLORIDA,fort lauderdale,6,11,139,187
WASHINGTON,auburn,7,5,447,188
CALIFORNIA,san marcos,42,28,346,189
NORTH CAROLINA,cary,7,9,163,190
CALIFORNIA,pomona,21,29,162,193
MICHIGAN,royal oak,6,5,610,195
CALIFORNIA,huntington beach,17,31,117,197
CALIFORNIA,redwood city,47,32,403,198
SOUTH CAROLINA,mount pleasant,4,4,446,200
ILLINOIS,bloomington,4,7,412,201
CALIFORNIA,azusa,66,33,780,203
MASSACHUSETTS,marlborough,12,10,937,204
CALIFORNIA,san bernardino,15,34,100,205
FLORIDA,west palm beach,9,12,280,206
CALIFORNIA,fullerton,26,35,184,207
LOUISIANA,lafayette,4,4,214,208
CALIFORNIA,san clemente,59,36,537,210
CALIFORNIA,newark,68,37,835,211
MASSACHUSETTS,chelsea,14,11,976,212
CALIFORNIA,compton,36,38,301,213
RHODE ISLAND,east providence,4,2,793,214
GEORGIA,smyrna,6,2,687,215
ILLINOIS,downers grove,11,8,751,216
NEW JERSEY,hackensack,6,4,834,217
FLORIDA,melbourne,12,13,428,218
TEXAS,san marcos,19,14,679,219
ILLINOIS,normal,10,9,671,220
CALIFORNIA,inglewood,31,39,242,221
TEXAS,denton,11,15,217,225
NEW JERSEY,hoboken,5,6,697,226
CALIFORNIA,vacaville,38,40,316,227
CALIFORNIA,oceanside,18,41,137,228
MASSACHUSETTS,somerville,7,12,414,230
CALIFORNIA,aliso viejo,65,42,741,231
VIRGINIA,roanoke,5,8,298,232
OREGON,lake oswego,5,5,979,233
MASSACHUSETTS,beverly,11,13,904,234
GEORGIA,marietta,5,3,608,235
CONNECTICUT,middletown,7,3,791,236
FLORIDA,miramar,7,14,196,238
TEXAS,waco,10,16,197,239
MINNESOTA,eden prairie,7,4,557,240
MINNESOTA,duluth,4,5,365,242
KANSAS,lenexa,5,5,735,244
FLORIDA,sarasota,18,15,688,245
CALIFORNIA,santa ana,10,43,57,246
TEXAS,pearland,14,17,292,247
CALIFORNIA,vallejo,28,44,223,248
WISCONSIN,eau claire,4,3,508,249
CALIFORNIA,fresno,5,45,34,250
CALIFORNIA,temecula,33,46,266,251
CALIFORNIA,culver city,70,47,936,252
MINNESOTA,plymouth,5,6,453,253
ILLINOIS,skokie,9,10,533,254
PENNSYLVANIA,lancaster,4,5,605,255
CALIFORNIA,rohnert park,69,48,885,256
CALIFORNIA,pleasanton,52,49,450,257
CALIFORNIA,carson,39,50,325,258
ILLINOIS,urbana,14,11,878,259
INDIANA,lafayette,4,4,481,262
CALIFORNIA,vista,37,51,306,263
ILLINOIS,streamwood,15,12,916,267
CALIFORNIA,redlands,53,52,486,268
LOUISIANA,monroe,5,5,749,269
CONNECTICUT,norwalk,5,5,354,270
TEXAS,friendswood,21,18,980,271
CALIFORNIA,encinitas,62,53,570,272
SOUTH CAROLINA,spartanburg,6,5,978,273
NEW YORK,schenectady,6,9,525,274
FLORIDA,fort myers,13,16,501,275
WASHINGTON,bellingham,6,6,390,276
VIRGINIA,harrisonburg,6,9,719,277
CALIFORNIA,elk grove,19,54,151,279
CALIFORNIA,san rafael,63,55,609,280
COLORADO,greeley,6,6,308,282
CALIFORNIA,san ramon,51,56,449,285
CALIFORNIA,chico,43,57,350,286
NORTH CAROLINA,fayetteville,6,10,106,287
FLORIDA,daytona beach,15,17,559,288
TENNESSEE,murfreesboro,4,4,228,289
CALIFORNIA,stockton,12,58,64,290
WASHINGTON,everett,5,7,269,291
MINNESOTA,edina,8,8,756,292
CALIFORNIA,orange,24,59,182,293
FLORIDA,sanford,17,18,650,294
CALIFORNIA,sacramento,6,60,35,295
TEXAS,temple,17,19,484,296
CALIFORNIA,laguna niguel,60,61,539,297
TEXAS,mansfield,18,20,581,299
WASHINGTON,sammamish,9,8,742,301
UTAH,murray,4,4,768,302
WASHINGTON,burien,10,9,747,303
NORTH CAROLINA,huntersville,12,11,733,304
VIRGINIA,danville,9,10,859,305
CALIFORNIA,camarillo,58,62,523,306
CALIFORNIA,lake forest,48,63,408,307
PENNSYLVANIA,harrisburg,5,6,759,308
CALIFORNIA,oxnard,16,64,108,309
OHIO,strongsville,7,8,826,310
CALIFORNIA,san mateo,35,65,286,311
CALIFORNIA,milpitas,54,66,489,312
FLORIDA,pensacola,19,19,696,313
CALIFORNIA,alameda,50,67,435,314
NORTH CAROLINA,high point,9,12,260,315
MICHIGAN,kalamazoo,5,6,440,316
CALIFORNIA,santa maria,34,68,281,317
FLORIDA,delray beach,14,20,543,318
CALIFORNIA,bakersfield,9,69,52,319
CONNECTICUT,meriden,6,6,586,320
ILLINOIS,arlington heights,5,13,437,321
CALIFORNIA,downey,30,70,238,322
MICHIGAN,troy,4,7,387,323
GEORGIA,albany,4,6,436,324
CALIFORNIA,whittier,44,71,360,326
TEXAS,corpus christi,8,21,60,328
ILLINOIS,glenview,12,14,819,331
MASSACHUSETTS,peabody,10,14,708,332
WISCONSIN,brookfield,5,5,971,333
ILLINOIS,schaumburg,7,15,445,334
TENNESSEE,brentwood,6,6,924,335