city,Schools,hospitals,physicians,mix,NIH,VC,mix,nouse,rank
New York,1,8,4,6,2,6,4,3.75,3.666666667
San Francisco,6,2,1,1.5,8,2,5,4.375,4.166666667
Philadelphia,3,6,6,6,4,4,4,4.25,4.333333333
Los Angeles,3,2,1,1.5,7,10,8.5,5.375,4.333333333
Boston,3,10,9,9.5,1,1,1,3.625,4.5
San Diego,8,2,1,1.5,6,3,4.5,4.625,4.666666667
Baltimore,1,11,10,10.5,5,7,6,5.875,5.833333333
Chicago,7,5,8,6.5,9,8,8.5,7.625,7.333333333
Houston,8,1,5,3,11,11,11,8.25,7.333333333
Pittsburgh,8,6,6,6,10,9,9.5,8.25,7.833333333
Seattle,11,9,11,10,3,5,4,7.25,8.333333333